,rid,sid,text,category_polarity_list,categorys,category_num
38,178,178:1,He gave me this PC about 3 years ago and up to this point im still sitting here using it.,"[('LAPTOP#QUALITY', 'positive')]",['LAPTOP#QUALITY'],1
39,178,178:2,Its still going.,"[('LAPTOP#QUALITY', 'positive')]",['LAPTOP#QUALITY'],1
40,178,178:3,It is in the best condition and has a really high quality.,"[('LAPTOP#QUALITY', 'positive')]",['LAPTOP#QUALITY'],1
41,178,178:4,This is something i would deffinately reccomend to someone.,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
42,178,178:5,You will not regret buying such a great thing like this!,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
43,178,178:6,It can't get any better.,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
44,77,77:0,"Waited on getting this computer, but it has been a great change.","[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
45,77,77:1,Ease of use is just one of the benefits I love about my Mac.,"[('LAPTOP#USABILITY', 'positive')]",['LAPTOP#USABILITY'],1
46,342,342:0,This laptop meets every expectation and Windows 7 is great!,"[('LAPTOP#GENERAL', 'positive'), ('OS#GENERAL', 'positive')]","['LAPTOP#GENERAL', 'OS#GENERAL']",2
47,342,342:1,"It's fast, it's easy easy easy to set up, easy to hook to my wireless network.","[('LAPTOP#OPERATION_PERFORMANCE', 'positive'), ('LAPTOP#USABILITY', 'positive'), ('LAPTOP#CONNECTIVITY', 'positive')]","['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#USABILITY', 'LAPTOP#CONNECTIVITY']",3
48,342,342:2,It's even easy to hook up to other wireless networks.,"[('LAPTOP#CONNECTIVITY', 'positive')]",['LAPTOP#CONNECTIVITY'],1
49,342,342:3,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,"[('BATTERY#OPERATION_PERFORMANCE', 'neutral')]",['BATTERY#OPERATION_PERFORMANCE'],1
50,342,342:4,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,"[('BATTERY#OPERATION_PERFORMANCE', 'positive')]",['BATTERY#OPERATION_PERFORMANCE'],1
51,348,348:0,"Most everything is fine with this machine: speed, capacity, build.","[('LAPTOP#GENERAL', 'positive'), ('LAPTOP#OPERATION_PERFORMANCE', 'positive'), ('HARD_DISC#DESIGN_FEATURES', 'positive'), ('LAPTOP#QUALITY', 'positive')]","['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE', 'HARD_DISC#DESIGN_FEATURES', 'LAPTOP#QUALITY']",4
52,348,348:1,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.","[('DISPLAY#QUALITY', 'negative')]",['DISPLAY#QUALITY'],1
53,348,348:2,"Yes, I have it on the highest available setting.",[],[],0
54,347,347:0,I bought it for really cheap also and it's AMAZING.,"[('LAPTOP#PRICE', 'positive'), ('LAPTOP#GENERAL', 'positive')]","['LAPTOP#PRICE', 'LAPTOP#GENERAL']",2
55,347,347:1,Easy to start up and does not overheat as much as other laptops.,[],[],0
56,347,347:2,Recommended to people as their first laptop.,"[('LAPTOP#MISCELLANEOUS', 'positive')]",['LAPTOP#MISCELLANEOUS'],1
57,339,339:0,"Plain and simple, it(laptop) runs great and loads fast.","[('LAPTOP#OPERATION_PERFORMANCE', 'positive')]",['LAPTOP#OPERATION_PERFORMANCE'],1
58,339,339:1,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.","[('LAPTOP#PORTABILITY', 'positive'), ('LAPTOP#CONNECTIVITY', 'positive')]","['LAPTOP#PORTABILITY', 'LAPTOP#CONNECTIVITY']",2
59,339,339:2,Love that it doesn't take up space like a regular computer.,[],[],0
60,273,273:0,I'm already hooked on the sleek look and dependability that this laptop has shown.,"[('LAPTOP#DESIGN_FEATURES', 'positive'), ('LAPTOP#QUALITY', 'positive')]","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#QUALITY']",2
61,273,273:1,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.","[('OS#USABILITY', 'neutral')]",['OS#USABILITY'],1
62,273,273:2,The unibody design is edgy and durable.,"[('LAPTOP#DESIGN_FEATURES', 'positive'), ('LAPTOP#QUALITY', 'positive')]","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#QUALITY']",2
63,273,273:3,The LED backlit display makes my pictures pop so much more.,"[('DISPLAY#DESIGN_FEATURES', 'positive')]",['DISPLAY#DESIGN_FEATURES'],1
64,273,273:4,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,"[('MOUSE#DESIGN_FEATURES', 'positive'), ('LAPTOP#USABILITY', 'positive')]","['MOUSE#DESIGN_FEATURES', 'LAPTOP#USABILITY']",2
65,273,273:5,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",[],[],0
66,273,273:6,A key contributor that led me to Mac is the art aspect.,"[('LAPTOP#DESIGN_FEATURES', 'positive')]",['LAPTOP#DESIGN_FEATURES'],1
67,273,273:7,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,"[('SOFTWARE#MISCELLANEOUS', 'positive')]",['SOFTWARE#MISCELLANEOUS'],1
68,273,273:8,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,"[('LAPTOP#GENERAL', 'positive'), ('LAPTOP#OPERATION_PERFORMANCE', 'positive')]","['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']",2
69,273,273:9,It's more expensive but well worth it in the long run.,"[('LAPTOP#PRICE', 'negative'), ('LAPTOP#GENERAL', 'positive')]","['LAPTOP#PRICE', 'LAPTOP#GENERAL']",2
70,240,240:0,"Great product, very easy to use and great graphics.","[('LAPTOP#GENERAL', 'positive'), ('LAPTOP#USABILITY', 'positive'), ('GRAPHICS#GENERAL', 'positive')]","['LAPTOP#GENERAL', 'LAPTOP#USABILITY', 'GRAPHICS#GENERAL']",3
71,240,240:1,"One drawback, I wish the keys were backlit.","[('KEYBOARD#DESIGN_FEATURES', 'negative')]",['KEYBOARD#DESIGN_FEATURES'],1
72,240,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.","[('LAPTOP#GENERAL', 'positive'), ('LAPTOP#PRICE', 'neutral')]","['LAPTOP#GENERAL', 'LAPTOP#PRICE']",2
73,243,243:0,It had most of the features and all of the power that I wanted to replace my desktop machine.,"[('LAPTOP#DESIGN_FEATURES', 'positive'), ('LAPTOP#OPERATION_PERFORMANCE', 'positive')]","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']",2
74,243,243:1,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,"[('LAPTOP#DESIGN_FEATURES', 'neutral'), ('LAPTOP#PORTABILITY', 'positive')]","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#PORTABILITY']",2
75,243,243:2,I'm very happy with this machine!,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
76,285,285:0,"I love the size, keyboard, the functions.","[('LAPTOP#DESIGN_FEATURES', 'positive'), ('KEYBOARD#GENERAL', 'positive'), ('LAPTOP#OPERATION_PERFORMANCE', 'positive')]","['LAPTOP#DESIGN_FEATURES', 'KEYBOARD#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']",3
77,285,285:1,I don't really have a complaint.,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
78,285,285:2,"It is easy to use, good quality and good price.","[('LAPTOP#USABILITY', 'positive'), ('LAPTOP#QUALITY', 'positive'), ('LAPTOP#PRICE', 'positive')]","['LAPTOP#USABILITY', 'LAPTOP#QUALITY', 'LAPTOP#PRICE']",3
79,285,285:3,Perfect trifecta!,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
80,285,285:4,I would recommend this product.,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
81,212,212:0,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,"[('SOFTWARE#GENERAL', 'negative'), ('LAPTOP#GENERAL', 'negative')]","['SOFTWARE#GENERAL', 'LAPTOP#GENERAL']",2
82,93,93:0,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,"[('SUPPORT#QUALITY', 'neutral')]",['SUPPORT#QUALITY'],1
83,93,93:1,I purchased this laptop 9 months ago!,[],[],0
84,93,93:2,The DVD burner broke after burning 3 DVD'd during that time!,"[('OPTICAL_DRIVES#QUALITY', 'negative')]",['OPTICAL_DRIVES#QUALITY'],1
85,93,93:3,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
86,93,93:4,I am currently out of town and called to inform them the broken part would be returned when I got back in town.,[],[],0
87,93,93:5,If this is an improvement in Customer Service then I would hate too see what it was before!,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
88,93,93:6,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
89,93,93:7,Needless to say I told them No and have a nice day and hung up!,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
90,93,93:8,I can guarantee this will be the last Dell I will ever purchase!,"[('LAPTOP#GENERAL', 'negative'), ('COMPANY#GENERAL', 'negative')]","['LAPTOP#GENERAL', 'COMPANY#GENERAL']",2
91,93,93:9,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,"[('LAPTOP#QUALITY', 'negative'), ('SUPPORT#QUALITY', 'negative')]","['LAPTOP#QUALITY', 'SUPPORT#QUALITY']",2
92,93,93:10,I do not recommend this company or their products!!!!,"[('COMPANY#GENERAL', 'negative')]",['COMPANY#GENERAL'],1
93,252,252:0,"So far, a great product.","[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
94,252,252:1,"High price tag, however.","[('LAPTOP#PRICE', 'negative')]",['LAPTOP#PRICE'],1
95,252,252:2,Still trying to learn how to use it.,"[('LAPTOP#USABILITY', 'neutral')]",['LAPTOP#USABILITY'],1
96,19,19:0,it is the worst computer dell ever made.,"[('LAPTOP#GENERAL', 'negative')]",['LAPTOP#GENERAL'],1
97,19,19:1,it is hard to fix and makes it a hassle to own one.,"[('LAPTOP#QUALITY', 'negative'), ('LAPTOP#GENERAL', 'negative')]","['LAPTOP#QUALITY', 'LAPTOP#GENERAL']",2
98,19,19:2,breaks easily.,"[('LAPTOP#QUALITY', 'negative')]",['LAPTOP#QUALITY'],1
99,19,19:3,only good thing is the graphics quality.,"[('GRAPHICS#QUALITY', 'positive')]",['GRAPHICS#QUALITY'],1
100,165,165:0,There are so many wonderful features and benefits to the new MacBook!,"[('LAPTOP#DESIGN_FEATURES', 'positive'), ('LAPTOP#GENERAL', 'positive')]","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#GENERAL']",2
101,165,165:1,The #1 reason that is always repeated.,[],[],0
102,165,165:2,No Viruses!,"[('LAPTOP#QUALITY', 'positive')]",['LAPTOP#QUALITY'],1
103,165,165:3,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,"[('LAPTOP#OPERATION_PERFORMANCE', 'positive'), ('LAPTOP#USABILITY', 'positive')]","['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#USABILITY']",2
104,165,165:4,I am loyal to Apple.,"[('COMPANY#GENERAL', 'positive')]",['COMPANY#GENERAL'],1
105,165,165:5,The Macbooks worth every penny.,[],[],0
106,165,165:6,"They're easy, fun, powerful and will last a long time.",[],[],0
107,165,165:7,"The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy.",[],[],0
108,165,165:8,I am very Happy!,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
109,111,111:0,This just keeps having it's hard drive replaced!,"[('HARD_DISC#QUALITY', 'negative')]",['HARD_DISC#QUALITY'],1
110,111,111:1,Acer won't replace the laptop.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
111,111,111:2,the manufacturer's warranty only covers replacement/repair of parts.,"[('WARRANTY#GENERAL', 'negative')]",['WARRANTY#GENERAL'],1
112,111,111:3,This thing is a lemon.,"[('LAPTOP#QUALITY', 'negative')]",['LAPTOP#QUALITY'],1
113,292,292:0,This MacBook is an outstanding product with great value.,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
114,292,292:1,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"[('LAPTOP#USABILITY', 'positive'), ('SUPPORT#QUALITY', 'positive')]","['LAPTOP#USABILITY', 'SUPPORT#QUALITY']",2
115,292,292:2,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.","[('BATTERY#OPERATION_PERFORMANCE', 'positive'), ('LAPTOP#OPERATION_PERFORMANCE', 'positive')]","['BATTERY#OPERATION_PERFORMANCE', 'LAPTOP#OPERATION_PERFORMANCE']",2
116,292,292:3,It does run a little warm but that is a negligible concern.,"[('LAPTOP#QUALITY', 'neutral')]",['LAPTOP#QUALITY'],1
117,359,359:0,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!,[],[],0
118,359,359:1,I have owned it only two months!,[],[],0
119,359,359:2,I have had nothing but problems since the day I took it out of the box!,"[('LAPTOP#GENERAL', 'negative'), ('LAPTOP#QUALITY', 'negative')]","['LAPTOP#GENERAL', 'LAPTOP#QUALITY']",2
120,359,359:3,My first problem was with the pre-loaded Norton Firewall/Security program.,"[('SOFTWARE#GENERAL', 'negative')]",['SOFTWARE#GENERAL'],1
121,359,359:4,It would not let me connect to my Wifi system where I lived.,"[('LAPTOP#CONNECTIVITY', 'negative')]",['LAPTOP#CONNECTIVITY'],1
122,359,359:5,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
123,359,359:6,"Then just the other day, my left ""mouse"" button snapped!","[('MOUSE#QUALITY', 'negative')]",['MOUSE#QUALITY'],1
124,359,359:7,"Being only 2 months old, I am not a happy camper!","[('LAPTOP#GENERAL', 'negative')]",['LAPTOP#GENERAL'],1
125,359,359:8,Buyer Beware.,"[('LAPTOP#GENERAL', 'negative')]",['LAPTOP#GENERAL'],1
126,359,359:9,"this one, in my opinion, might be a lemon!","[('LAPTOP#QUALITY', 'negative')]",['LAPTOP#QUALITY'],1
127,95,95:0,It rarely works and when it does it's incredibly slow.,"[('LAPTOP#QUALITY', 'negative'), ('LAPTOP#OPERATION_PERFORMANCE', 'negative')]","['LAPTOP#QUALITY', 'LAPTOP#OPERATION_PERFORMANCE']",2
128,95,95:1,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,"[('LAPTOP#QUALITY', 'negative')]",['LAPTOP#QUALITY'],1
129,95,95:2,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!","[('LAPTOP#GENERAL', 'negative')]",['LAPTOP#GENERAL'],1
130,360,360:0,Like the price and operation.,"[('LAPTOP#PRICE', 'positive'), ('LAPTOP#OPERATION_PERFORMANCE', 'positive')]","['LAPTOP#PRICE', 'LAPTOP#OPERATION_PERFORMANCE']",2
131,360,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.","[('LAPTOP#USABILITY', 'negative'), ('MULTIMEDIA_DEVICES#USABILITY', 'negative'), ('MULTIMEDIA_DEVICES#QUALITY', 'negative')]","['LAPTOP#USABILITY', 'MULTIMEDIA_DEVICES#USABILITY', 'MULTIMEDIA_DEVICES#QUALITY']",3
132,360,360:2,"But, for the cost this is a winner.","[('LAPTOP#GENERAL', 'positive'), ('LAPTOP#PRICE', 'positive')]","['LAPTOP#GENERAL', 'LAPTOP#PRICE']",2
133,66,66:0,I absolutely love my mac!,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
134,66,66:1,I can't imagine my life without it anymore!,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
135,66,66:2,It's perfect for everything and runs faster than an average pc!,[],[],0
136,384,384:0,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,"[('LAPTOP#GENERAL', 'positive'), ('PORTS#QUALITY', 'negative')]","['LAPTOP#GENERAL', 'PORTS#QUALITY']",2
137,384,384:1,Apparently they are defective since they are not securely attached.,"[('PORTS#QUALITY', 'negative')]",['PORTS#QUALITY'],1
138,384,384:2,I can barely use any usb devices because they will not stay connected properly.,"[('LAPTOP#CONNECTIVITY', 'negative')]",['LAPTOP#CONNECTIVITY'],1
139,384,384:3,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
140,384,384:4,I think I might rather suffer for something that is simple to fix in my opinion.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
141,54,54:0,I bought this laptop Was the worst Laptop I've ever bought.,"[('LAPTOP#GENERAL', 'negative')]",['LAPTOP#GENERAL'],1
142,54,54:1,I spent alot of money on this product and its been a nightmare.,"[('LAPTOP#PRICE', 'negative'), ('LAPTOP#GENERAL', 'negative')]","['LAPTOP#PRICE', 'LAPTOP#GENERAL']",2
143,54,54:2,And having to deal with the company has been a even worse nightmare.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
144,54,54:3,I sent it to them to fix in perfect condition but for what was wrong with it.,[],[],0
145,54,54:4,They sent it back with a huge crack in it and it still didn't work.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
146,54,54:5,And that was the fourth time ive sent it to them to get fixed.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
147,54,54:6,Its been a year and am still waiting to see what there going to do about my laptop.,"[('SUPPORT#QUALITY', 'negative')]",['SUPPORT#QUALITY'],1
148,54,54:7,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,"[('COMPANY#GENERAL', 'negative')]",['COMPANY#GENERAL'],1
149,176,176:0,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
150,176,176:1,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.","[('DISPLAY#GENERAL', 'positive'), ('BATTERY#OPERATION_PERFORMANCE', 'positive')]","['DISPLAY#GENERAL', 'BATTERY#OPERATION_PERFORMANCE']",2
151,176,176:2,"A little pricey but it is well, well worth it.","[('LAPTOP#PRICE', 'negative'), ('LAPTOP#GENERAL', 'positive')]","['LAPTOP#PRICE', 'LAPTOP#GENERAL']",2
152,176,176:3,I've been a PC user and I just finally switched and I am never going back.,[],[],0
153,176,176:4,It is amazing.,"[('LAPTOP#GENERAL', 'positive')]",['LAPTOP#GENERAL'],1
154,59,59:0,In the first moth of owning this computer its hardrive failed which had to be replaced.,"[('HARD_DISC#QUALITY', 'negative')]",['HARD_DISC#QUALITY'],1
155,59,59:1,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,"[('BATTERY#QUALITY', 'negative'), ('BATTERY#OPERATION_PERFORMANCE', 'negative')]","['BATTERY#QUALITY', 'BATTERY#OPERATION_PERFORMANCE']",2
156,59,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"[('POWER_SUPPLY#QUALITY', 'negative'), ('POWER_SUPPLY#OPERATION_PERFORMANCE', 'negative'), ('HARDWARE#QUALITY', 'negative')]","['POWER_SUPPLY#QUALITY', 'POWER_SUPPLY#OPERATION_PERFORMANCE', 'HARDWARE#QUALITY']",3
157,59,59:3,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,"[('LAPTOP#QUALITY', 'negative')]",['LAPTOP#QUALITY'],1
158,170,170:0,Has a 5-6 hour battery life.,"[('BATTERY#OPERATION_PERFORMANCE', 'positive')]",['BATTERY#OPERATION_PERFORMANCE'],1
159,170,170:1,Much faster than my old windows laptop that died on me.,[],[],0
160,170,170:2,It is easy to use and lightweight.,"[('LAPTOP#USABILITY', 'positive'), ('LAPTOP#DESIGN_FEATURES', 'positive')]","['LAPTOP#USABILITY', 'LAPTOP#DESIGN_FEATURES']",2
161,170,170:3,Was very much worth the price i paid.,"[('LAPTOP#GENERAL', 'positive'), ('LAPTOP#PRICE', 'positive')]","['LAPTOP#GENERAL', 'LAPTOP#PRICE']",2
162,90,90:0,This netbook went bad on me after 3 days.,"[('LAPTOP#QUALITY', 'negative')]",['LAPTOP#QUALITY'],1
163,90,90:1,There is a blank lighted screen when I start and that is all.,"[('DISPLAY#OPERATION_PERFORMANCE', 'negative')]",['DISPLAY#OPERATION_PERFORMANCE'],1
164,90,90:2,I am also upset with CR for giving a good rating.,[],[],0
165,220,220:0,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,[],[],0
166,220,220:1,"Three weeks after I bought the netbook, the screen quit working.","[('DISPLAY#QUALITY', 'negative'), ('DISPLAY#OPERATION_PERFORMANCE', 'negative')]","['DISPLAY#QUALITY', 'DISPLAY#OPERATION_PERFORMANCE']",2
