,rid,sid,text,category,polarity,attribute,entity
67,348,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
68,348,348:0,"Most everything is fine with this machine: speed, capacity, build.",HARD_DISC#DESIGN_FEATURES,positive,DESIGN_FEATURES,HARD_DISC
69,348,348:0,"Most everything is fine with this machine: speed, capacity, build.",LAPTOP#QUALITY,positive,QUALITY,LAPTOP
70,348,348:1,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",DISPLAY#QUALITY,negative,QUALITY,DISPLAY
71,348,348:2,"Yes, I have it on the highest available setting.",UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
72,347,347:0,I bought it for really cheap also and it's AMAZING.,LAPTOP#PRICE,positive,PRICE,LAPTOP
73,347,347:0,I bought it for really cheap also and it's AMAZING.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
74,347,347:1,Easy to start up and does not overheat as much as other laptops.,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
75,347,347:2,Recommended to people as their first laptop.,LAPTOP#MISCELLANEOUS,positive,MISCELLANEOUS,LAPTOP
76,339,339:0,"Plain and simple, it(laptop) runs great and loads fast.",LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
77,339,339:1,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#PORTABILITY,positive,PORTABILITY,LAPTOP
78,339,339:1,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",LAPTOP#CONNECTIVITY,positive,CONNECTIVITY,LAPTOP
79,339,339:2,Love that it doesn't take up space like a regular computer.,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
80,273,273:0,I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#DESIGN_FEATURES,positive,DESIGN_FEATURES,LAPTOP
81,273,273:0,I'm already hooked on the sleek look and dependability that this laptop has shown.,LAPTOP#QUALITY,positive,QUALITY,LAPTOP
82,273,273:1,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",OS#USABILITY,neutral,USABILITY,OS
83,273,273:2,The unibody design is edgy and durable.,LAPTOP#DESIGN_FEATURES,positive,DESIGN_FEATURES,LAPTOP
84,273,273:2,The unibody design is edgy and durable.,LAPTOP#QUALITY,positive,QUALITY,LAPTOP
85,273,273:3,The LED backlit display makes my pictures pop so much more.,DISPLAY#DESIGN_FEATURES,positive,DESIGN_FEATURES,DISPLAY
86,273,273:4,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,MOUSE#DESIGN_FEATURES,positive,DESIGN_FEATURES,MOUSE
87,273,273:4,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,LAPTOP#USABILITY,positive,USABILITY,LAPTOP
88,273,273:5,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
89,273,273:6,A key contributor that led me to Mac is the art aspect.,LAPTOP#DESIGN_FEATURES,positive,DESIGN_FEATURES,LAPTOP
90,273,273:7,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,SOFTWARE#MISCELLANEOUS,positive,MISCELLANEOUS,SOFTWARE
91,273,273:8,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
92,273,273:8,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
93,273,273:9,It's more expensive but well worth it in the long run.,LAPTOP#PRICE,negative,PRICE,LAPTOP
94,273,273:9,It's more expensive but well worth it in the long run.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
95,240,240:0,"Great product, very easy to use and great graphics.",LAPTOP#GENERAL,positive,GENERAL,LAPTOP
96,240,240:0,"Great product, very easy to use and great graphics.",LAPTOP#USABILITY,positive,USABILITY,LAPTOP
97,240,240:0,"Great product, very easy to use and great graphics.",GRAPHICS#GENERAL,positive,GENERAL,GRAPHICS
98,240,240:1,"One drawback, I wish the keys were backlit.",KEYBOARD#DESIGN_FEATURES,negative,DESIGN_FEATURES,KEYBOARD
99,240,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#GENERAL,positive,GENERAL,LAPTOP
100,240,240:2,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.",LAPTOP#PRICE,neutral,PRICE,LAPTOP
101,243,243:0,It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#DESIGN_FEATURES,positive,DESIGN_FEATURES,LAPTOP
102,243,243:0,It had most of the features and all of the power that I wanted to replace my desktop machine.,LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
103,243,243:1,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#DESIGN_FEATURES,neutral,DESIGN_FEATURES,LAPTOP
104,243,243:1,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,LAPTOP#PORTABILITY,positive,PORTABILITY,LAPTOP
105,243,243:2,I'm very happy with this machine!,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
106,285,285:0,"I love the size, keyboard, the functions.",LAPTOP#DESIGN_FEATURES,positive,DESIGN_FEATURES,LAPTOP
107,285,285:0,"I love the size, keyboard, the functions.",KEYBOARD#GENERAL,positive,GENERAL,KEYBOARD
108,285,285:0,"I love the size, keyboard, the functions.",LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
109,285,285:1,I don't really have a complaint.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
110,285,285:2,"It is easy to use, good quality and good price.",LAPTOP#USABILITY,positive,USABILITY,LAPTOP
111,285,285:2,"It is easy to use, good quality and good price.",LAPTOP#QUALITY,positive,QUALITY,LAPTOP
112,285,285:2,"It is easy to use, good quality and good price.",LAPTOP#PRICE,positive,PRICE,LAPTOP
113,285,285:3,Perfect trifecta!,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
114,285,285:4,I would recommend this product.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
115,212,212:0,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,SOFTWARE#GENERAL,negative,GENERAL,SOFTWARE
116,212,212:0,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,LAPTOP#GENERAL,negative,GENERAL,LAPTOP
117,93,93:0,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,SUPPORT#QUALITY,neutral,QUALITY,SUPPORT
118,93,93:1,I purchased this laptop 9 months ago!,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
119,93,93:2,The DVD burner broke after burning 3 DVD'd during that time!,OPTICAL_DRIVES#QUALITY,negative,QUALITY,OPTICAL_DRIVES
120,93,93:3,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
121,93,93:4,I am currently out of town and called to inform them the broken part would be returned when I got back in town.,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
122,93,93:5,If this is an improvement in Customer Service then I would hate too see what it was before!,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
123,93,93:6,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
124,93,93:7,Needless to say I told them No and have a nice day and hung up!,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
125,93,93:8,I can guarantee this will be the last Dell I will ever purchase!,LAPTOP#GENERAL,negative,GENERAL,LAPTOP
126,93,93:8,I can guarantee this will be the last Dell I will ever purchase!,COMPANY#GENERAL,negative,GENERAL,COMPANY
127,93,93:9,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,LAPTOP#QUALITY,negative,QUALITY,LAPTOP
128,93,93:9,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
129,93,93:10,I do not recommend this company or their products!!!!,COMPANY#GENERAL,negative,GENERAL,COMPANY
130,252,252:0,"So far, a great product.",LAPTOP#GENERAL,positive,GENERAL,LAPTOP
131,252,252:1,"High price tag, however.",LAPTOP#PRICE,negative,PRICE,LAPTOP
132,252,252:2,Still trying to learn how to use it.,LAPTOP#USABILITY,neutral,USABILITY,LAPTOP
133,19,19:0,it is the worst computer dell ever made.,LAPTOP#GENERAL,negative,GENERAL,LAPTOP
134,19,19:1,it is hard to fix and makes it a hassle to own one.,LAPTOP#QUALITY,negative,QUALITY,LAPTOP
135,19,19:1,it is hard to fix and makes it a hassle to own one.,LAPTOP#GENERAL,negative,GENERAL,LAPTOP
136,19,19:2,breaks easily.,LAPTOP#QUALITY,negative,QUALITY,LAPTOP
137,19,19:3,only good thing is the graphics quality.,GRAPHICS#QUALITY,positive,QUALITY,GRAPHICS
138,165,165:0,There are so many wonderful features and benefits to the new MacBook!,LAPTOP#DESIGN_FEATURES,positive,DESIGN_FEATURES,LAPTOP
139,165,165:0,There are so many wonderful features and benefits to the new MacBook!,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
140,165,165:1,The #1 reason that is always repeated.,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
141,165,165:2,No Viruses!,LAPTOP#QUALITY,positive,QUALITY,LAPTOP
142,165,165:3,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
143,165,165:3,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,LAPTOP#USABILITY,positive,USABILITY,LAPTOP
144,165,165:4,I am loyal to Apple.,COMPANY#GENERAL,positive,GENERAL,COMPANY
145,165,165:5,The Macbooks worth every penny.,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
146,165,165:6,"They're easy, fun, powerful and will last a long time.",UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
147,165,165:7,"The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy.",UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
148,165,165:8,I am very Happy!,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
149,111,111:0,This just keeps having it's hard drive replaced!,HARD_DISC#QUALITY,negative,QUALITY,HARD_DISC
150,111,111:1,Acer won't replace the laptop.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
151,111,111:2,the manufacturer's warranty only covers replacement/repair of parts.,WARRANTY#GENERAL,negative,GENERAL,WARRANTY
152,111,111:3,This thing is a lemon.,LAPTOP#QUALITY,negative,QUALITY,LAPTOP
153,292,292:0,This MacBook is an outstanding product with great value.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
154,292,292:1,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,LAPTOP#USABILITY,positive,USABILITY,LAPTOP
155,292,292:1,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,SUPPORT#QUALITY,positive,QUALITY,SUPPORT
156,292,292:2,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",BATTERY#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,BATTERY
157,292,292:2,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.",LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
158,292,292:3,It does run a little warm but that is a negligible concern.,LAPTOP#QUALITY,neutral,QUALITY,LAPTOP
159,359,359:0,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
160,359,359:1,I have owned it only two months!,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
161,359,359:2,I have had nothing but problems since the day I took it out of the box!,LAPTOP#GENERAL,negative,GENERAL,LAPTOP
162,359,359:2,I have had nothing but problems since the day I took it out of the box!,LAPTOP#QUALITY,negative,QUALITY,LAPTOP
163,359,359:3,My first problem was with the pre-loaded Norton Firewall/Security program.,SOFTWARE#GENERAL,negative,GENERAL,SOFTWARE
164,359,359:4,It would not let me connect to my Wifi system where I lived.,LAPTOP#CONNECTIVITY,negative,CONNECTIVITY,LAPTOP
165,359,359:5,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
166,359,359:6,"Then just the other day, my left ""mouse"" button snapped!",MOUSE#QUALITY,negative,QUALITY,MOUSE
167,359,359:7,"Being only 2 months old, I am not a happy camper!",LAPTOP#GENERAL,negative,GENERAL,LAPTOP
168,359,359:8,Buyer Beware.,LAPTOP#GENERAL,negative,GENERAL,LAPTOP
169,359,359:9,"this one, in my opinion, might be a lemon!",LAPTOP#QUALITY,negative,QUALITY,LAPTOP
170,95,95:0,It rarely works and when it does it's incredibly slow.,LAPTOP#QUALITY,negative,QUALITY,LAPTOP
171,95,95:0,It rarely works and when it does it's incredibly slow.,LAPTOP#OPERATION_PERFORMANCE,negative,OPERATION_PERFORMANCE,LAPTOP
172,95,95:1,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,LAPTOP#QUALITY,negative,QUALITY,LAPTOP
173,95,95:2,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",LAPTOP#GENERAL,negative,GENERAL,LAPTOP
174,360,360:0,Like the price and operation.,LAPTOP#PRICE,positive,PRICE,LAPTOP
175,360,360:0,Like the price and operation.,LAPTOP#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,LAPTOP
176,360,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.",LAPTOP#USABILITY,negative,USABILITY,LAPTOP
177,360,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.",MULTIMEDIA_DEVICES#USABILITY,negative,USABILITY,MULTIMEDIA_DEVICES
178,360,360:1,"Some features arent friendly ( volume wheel, sound quality, etc.",MULTIMEDIA_DEVICES#QUALITY,negative,QUALITY,MULTIMEDIA_DEVICES
179,360,360:2,"But, for the cost this is a winner.",LAPTOP#GENERAL,positive,GENERAL,LAPTOP
180,360,360:2,"But, for the cost this is a winner.",LAPTOP#PRICE,positive,PRICE,LAPTOP
181,66,66:0,I absolutely love my mac!,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
182,66,66:1,I can't imagine my life without it anymore!,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
183,66,66:2,It's perfect for everything and runs faster than an average pc!,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
184,384,384:0,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
185,384,384:0,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,PORTS#QUALITY,negative,QUALITY,PORTS
186,384,384:1,Apparently they are defective since they are not securely attached.,PORTS#QUALITY,negative,QUALITY,PORTS
187,384,384:2,I can barely use any usb devices because they will not stay connected properly.,LAPTOP#CONNECTIVITY,negative,CONNECTIVITY,LAPTOP
188,384,384:3,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
189,384,384:4,I think I might rather suffer for something that is simple to fix in my opinion.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
190,54,54:0,I bought this laptop Was the worst Laptop I've ever bought.,LAPTOP#GENERAL,negative,GENERAL,LAPTOP
191,54,54:1,I spent alot of money on this product and its been a nightmare.,LAPTOP#PRICE,negative,PRICE,LAPTOP
192,54,54:1,I spent alot of money on this product and its been a nightmare.,LAPTOP#GENERAL,negative,GENERAL,LAPTOP
193,54,54:2,And having to deal with the company has been a even worse nightmare.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
194,54,54:3,I sent it to them to fix in perfect condition but for what was wrong with it.,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
195,54,54:4,They sent it back with a huge crack in it and it still didn't work.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
196,54,54:5,And that was the fourth time ive sent it to them to get fixed.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
197,54,54:6,Its been a year and am still waiting to see what there going to do about my laptop.,SUPPORT#QUALITY,negative,QUALITY,SUPPORT
198,54,54:7,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,COMPANY#GENERAL,negative,GENERAL,COMPANY
199,176,176:0,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
200,176,176:1,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",DISPLAY#GENERAL,positive,GENERAL,DISPLAY
201,176,176:1,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.",BATTERY#OPERATION_PERFORMANCE,positive,OPERATION_PERFORMANCE,BATTERY
202,176,176:2,"A little pricey but it is well, well worth it.",LAPTOP#PRICE,negative,PRICE,LAPTOP
203,176,176:2,"A little pricey but it is well, well worth it.",LAPTOP#GENERAL,positive,GENERAL,LAPTOP
204,176,176:3,I've been a PC user and I just finally switched and I am never going back.,UNKNOWN#UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN
205,176,176:4,It is amazing.,LAPTOP#GENERAL,positive,GENERAL,LAPTOP
206,59,59:0,In the first moth of owning this computer its hardrive failed which had to be replaced.,HARD_DISC#QUALITY,negative,QUALITY,HARD_DISC
207,59,59:1,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#QUALITY,negative,QUALITY,BATTERY
208,59,59:1,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,BATTERY#OPERATION_PERFORMANCE,negative,OPERATION_PERFORMANCE,BATTERY
209,59,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#QUALITY,negative,QUALITY,POWER_SUPPLY
210,59,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,POWER_SUPPLY#OPERATION_PERFORMANCE,negative,OPERATION_PERFORMANCE,POWER_SUPPLY
211,59,59:2,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,HARDWARE#QUALITY,negative,QUALITY,HARDWARE
212,59,59:3,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,LAPTOP#QUALITY,negative,QUALITY,LAPTOP
