,text,categorys,polarity
48,It's even easy to hook up to other wireless networks.,['CONNECTIVITY'],positive
49,The battery doesn't last long but I'm sure an upgrade battery would solve that problem.,['BATTERY'],neutral
50,I don't use my laptop in a way though that needs a long battery life so it's perfect for me.,['BATTERY'],positive
51,"Most everything is fine with this machine: speed, capacity, build.","['GENERAL', 'OPERATION_PERFORMANCE', 'HARD_DISC', 'QUALITY']",positive
52,"The only thing I don't understand is that the resolution of the screen isn't high enough for some pages, such as Yahoo!Mail.",['DISPLAY'],negative
53,"Yes, I have it on the highest available setting.",[],na
54,I bought it for really cheap also and it's AMAZING.,"['PRICE', 'GENERAL']",positive
55,Easy to start up and does not overheat as much as other laptops.,[],na
56,Recommended to people as their first laptop.,['MISCELLANEOUS'],positive
57,"Plain and simple, it(laptop) runs great and loads fast.",['OPERATION_PERFORMANCE'],positive
58,"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.","['PORTABILITY', 'CONNECTIVITY']",positive
59,Love that it doesn't take up space like a regular computer.,[],na
60,I'm already hooked on the sleek look and dependability that this laptop has shown.,"['DESIGN_FEATURES', 'QUALITY']",positive
61,"Being a PC user my whole life, it's taking a bit of time to adapt to the OS of a Mac but I'm finding my way around.",['OS'],neutral
62,The unibody design is edgy and durable.,"['DESIGN_FEATURES', 'QUALITY']",positive
63,The LED backlit display makes my pictures pop so much more.,['DISPLAY'],positive
64,I'm learning the finger options for the mousepad that allow for quicker browsing of web pages.,"['MOUSE', 'USABILITY']",positive
65,"Granted, it's still a very new laptop but in comparison to my previous laptops and desktops, my Mac boots up noticeably quicker.",[],na
66,A key contributor that led me to Mac is the art aspect.,['DESIGN_FEATURES'],positive
67,They have developed excellent proprietary software for editing video and pictures and I'm looking forward to utilizing these tools on the regular.,['SOFTWARE'],positive
68,I'm excited to learn more about what this powerful machine has to offer and encourage others to do the same.,"['GENERAL', 'OPERATION_PERFORMANCE']",positive
69,It's more expensive but well worth it in the long run.,"['PRICE', 'GENERAL']",mixed
70,"Great product, very easy to use and great graphics.","['GENERAL', 'USABILITY', 'GRAPHICS']",positive
71,"One drawback, I wish the keys were backlit.",['KEYBOARD'],negative
72,"I'm glad I bought this laptop, it was worth the few ($100) extra dollars.","['GENERAL', 'PRICE']",mixed
73,It had most of the features and all of the power that I wanted to replace my desktop machine.,"['DESIGN_FEATURES', 'OPERATION_PERFORMANCE']",positive
74,I wasn't really as concerned about portability (it's a very large laptop) but it's not hard to move around or take on a trip which was a pleasant surprise.,"['DESIGN_FEATURES', 'PORTABILITY']",mixed
75,I'm very happy with this machine!,['GENERAL'],positive
76,"I love the size, keyboard, the functions.","['DESIGN_FEATURES', 'KEYBOARD', 'OPERATION_PERFORMANCE']",positive
77,I don't really have a complaint.,['GENERAL'],positive
78,"It is easy to use, good quality and good price.","['USABILITY', 'QUALITY', 'PRICE']",positive
79,Perfect trifecta!,['GENERAL'],positive
80,I would recommend this product.,['GENERAL'],positive
81,The salesman talked us into this computer away from another we were looking at and we have had nothing but problems with software problems and just not happy with it.,"['SOFTWARE', 'GENERAL']",negative
82,This is my first Dell I heard their customer service was lacking and that they were working on improving it!,['SUPPORT'],neutral
83,I purchased this laptop 9 months ago!,[],na
84,The DVD burner broke after burning 3 DVD'd during that time!,['OPTICAL_DRIVES'],negative
85,They sent me a replacement part and without informing me are requiring that I return it within 15 days or contact them and let them know the broken part will be returned later.,['SUPPORT'],negative
86,I am currently out of town and called to inform them the broken part would be returned when I got back in town.,[],na
87,If this is an improvement in Customer Service then I would hate too see what it was before!,['SUPPORT'],negative
88,I spoke to 4 different people and was told they needed to transfer me to a 5th person!,['SUPPORT'],negative
89,Needless to say I told them No and have a nice day and hung up!,['SUPPORT'],negative
90,I can guarantee this will be the last Dell I will ever purchase!,"['GENERAL', 'COMPANY']",negative
91,Breaking within 1 year of purchase and speaking to 4+ people to report the damaged part will be returned late!,"['QUALITY', 'SUPPORT']",negative
92,I do not recommend this company or their products!!!!,['COMPANY'],negative
93,"So far, a great product.",['GENERAL'],positive
94,"High price tag, however.",['PRICE'],negative
95,Still trying to learn how to use it.,['USABILITY'],neutral
96,it is the worst computer dell ever made.,['GENERAL'],negative
97,it is hard to fix and makes it a hassle to own one.,"['QUALITY', 'GENERAL']",negative
98,breaks easily.,['QUALITY'],negative
99,only good thing is the graphics quality.,['GRAPHICS'],positive
100,There are so many wonderful features and benefits to the new MacBook!,"['DESIGN_FEATURES', 'GENERAL']",positive
101,The #1 reason that is always repeated.,[],na
102,No Viruses!,['QUALITY'],positive
103,This laptop is fast and you will literally learn all you can do with this dynamo by just watching the online tutorials.,"['OPERATION_PERFORMANCE', 'USABILITY']",positive
104,I am loyal to Apple.,['COMPANY'],positive
105,The Macbooks worth every penny.,[],na
106,"They're easy, fun, powerful and will last a long time.",[],na
107,"The great 18 month same as cash financing and Advance Protection Plan which includes accidents like spills ., which Apple doesn't offer, is why I bought my MacBook at Best Buy.",[],na
108,I am very Happy!,['GENERAL'],positive
109,This just keeps having it's hard drive replaced!,['HARD_DISC'],negative
110,Acer won't replace the laptop.,['SUPPORT'],negative
111,the manufacturer's warranty only covers replacement/repair of parts.,['WARRANTY'],negative
112,This thing is a lemon.,['QUALITY'],negative
113,This MacBook is an outstanding product with great value.,['GENERAL'],positive
114,Its ease of use and the top service from Apple- be it their phone assistance or bellying up to the genius bar- cannot be beat.,"['USABILITY', 'SUPPORT']",positive
115,"Suffice it to say, my MacBook Pro keeps me going with its long battery life and blazing speed.","['BATTERY', 'OPERATION_PERFORMANCE']",positive
116,It does run a little warm but that is a negligible concern.,['QUALITY'],neutral
117,I was so excited to receive the Toshiba L455 as a gift/bonus for some work I had done for a friend of mine!,[],na
118,I have owned it only two months!,[],na
119,I have had nothing but problems since the day I took it out of the box!,"['GENERAL', 'QUALITY']",negative
120,My first problem was with the pre-loaded Norton Firewall/Security program.,['SOFTWARE'],negative
121,It would not let me connect to my Wifi system where I lived.,['CONNECTIVITY'],negative
122,It took Toshiba tech support 4 calls and 4 different techs to correct the problem.,['SUPPORT'],negative
123,"Then just the other day, my left ""mouse"" button snapped!",['MOUSE'],negative
124,"Being only 2 months old, I am not a happy camper!",['GENERAL'],negative
125,Buyer Beware.,['GENERAL'],negative
126,"this one, in my opinion, might be a lemon!",['QUALITY'],negative
127,It rarely works and when it does it's incredibly slow.,"['QUALITY', 'OPERATION_PERFORMANCE']",negative
128,I have had to take it to the geek squad guys to get it fixed because it has had viruses 3 times and i have not even had it for more then 4 months!,['QUALITY'],negative
129,"*IF YOU ARE LOOKING FOR A GOOD LAPTOP, THIS IS NOT IT!",['GENERAL'],negative
130,Like the price and operation.,"['PRICE', 'OPERATION_PERFORMANCE']",positive
131,"Some features arent friendly ( volume wheel, sound quality, etc.","['USABILITY', 'MULTIMEDIA_DEVICES', 'MULTIMEDIA_DEVICES']",negative
132,"But, for the cost this is a winner.","['GENERAL', 'PRICE']",positive
133,I absolutely love my mac!,['GENERAL'],positive
134,I can't imagine my life without it anymore!,['GENERAL'],positive
135,It's perfect for everything and runs faster than an average pc!,[],na
136,I've haven't had any major problems with the laptop except that the plastic piece that covers the usb port wires have all come off.,"['GENERAL', 'PORTS']",mixed
137,Apparently they are defective since they are not securely attached.,['PORTS'],negative
138,I can barely use any usb devices because they will not stay connected properly.,['CONNECTIVITY'],negative
139,I called Toshiba and they want me to be without my laptop for about two weeks while they look at the problem.,['SUPPORT'],negative
140,I think I might rather suffer for something that is simple to fix in my opinion.,['SUPPORT'],negative
141,I bought this laptop Was the worst Laptop I've ever bought.,['GENERAL'],negative
142,I spent alot of money on this product and its been a nightmare.,"['PRICE', 'GENERAL']",negative
143,And having to deal with the company has been a even worse nightmare.,['SUPPORT'],negative
144,I sent it to them to fix in perfect condition but for what was wrong with it.,[],na
145,They sent it back with a huge crack in it and it still didn't work.,['SUPPORT'],negative
146,And that was the fourth time ive sent it to them to get fixed.,['SUPPORT'],negative
147,Its been a year and am still waiting to see what there going to do about my laptop.,['SUPPORT'],negative
148,So if anyones looking to buy a computer or laptop you should stay far far away from any that have the name TOSHIBA on it...,['COMPANY'],negative
149,I saved for this laptop for 3 months and I can tell you personally it was worth the wait.,['GENERAL'],positive
150,"The display on this computer is the best I've seen in a very long time, the battery life is very long and very convienent.","['DISPLAY', 'BATTERY']",positive
151,"A little pricey but it is well, well worth it.","['PRICE', 'GENERAL']",mixed
152,I've been a PC user and I just finally switched and I am never going back.,[],na
153,It is amazing.,['GENERAL'],positive
154,In the first moth of owning this computer its hardrive failed which had to be replaced.,['HARD_DISC'],negative
155,After replacing the hard drive the battery stopped working  (3 months of use) which was frustrating.,"['BATTERY', 'BATTERY']",negative
156,Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.,"['POWER_SUPPLY', 'POWER_SUPPLY', 'HARDWARE']",negative
157,A tip for people looking into this computer: DO NOT BUY IT save up a bit more money and buy a computer that will last.,['QUALITY'],negative
158,Has a 5-6 hour battery life.,['BATTERY'],positive
159,Much faster than my old windows laptop that died on me.,[],na
160,It is easy to use and lightweight.,"['USABILITY', 'DESIGN_FEATURES']",positive
161,Was very much worth the price i paid.,"['GENERAL', 'PRICE']",positive
162,This netbook went bad on me after 3 days.,['QUALITY'],negative
163,There is a blank lighted screen when I start and that is all.,['DISPLAY'],negative
164,I am also upset with CR for giving a good rating.,[],na
165,I purchased this netbook after my original Toshiba laptop crashed right after the warranty expired.,[],na
166,"Three weeks after I bought the netbook, the screen quit working.","['DISPLAY', 'DISPLAY']",negative
167,I baby my electronics so I know for a fact it was defective and not anything that I did to it.,['DISPLAY'],negative
168,"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.","['QUALITY', 'OPERATION_PERFORMANCE', 'BATTERY']",mixed
169,Took the netbook on a vacation trip and I was able to do whatever I wanted to do without lugging a much heavier laptop.,"['PORTABILITY', 'DESIGN_FEATURES', 'GENERAL']",positive
170,To my mind much more usable than the toy called an IPad.,[],na
171,The So called laptop Runs to Slow and I hate it!,"['OPERATION_PERFORMANCE', 'GENERAL']",negative
172,Do not  buy it!,['GENERAL'],negative
173,It is the worst laptop ever,['GENERAL'],negative
174,"The image is great, and the soud is excelent.","['DISPLAY', 'MULTIMEDIA_DEVICES']",positive
175,i love ths notebook.,['GENERAL'],positive
176,I love the glass touchpad.,['MOUSE'],positive
177,Easy learning curve.,['USABILITY'],positive
178,Also the display is exceptional!,['DISPLAY'],positive
179,I have loved this since i took it out of the box.,['GENERAL'],positive
180,The battery is really long.,['BATTERY'],positive
181,"the features are great, the only thing it needs is better speakers.","['DESIGN_FEATURES', 'MULTIMEDIA_DEVICES']",mixed
182,Small and light weight.,['DESIGN_FEATURES'],positive
183,Speakers too small to be of any real use.,"['MULTIMEDIA_DEVICES', 'MULTIMEDIA_DEVICES']",negative
184,Keyboard good sized and wasy to use.,"['KEYBOARD', 'KEYBOARD']",positive
185,I like it!,['GENERAL'],positive
186,Meets my needs perfectly and is light enough for this senior to carry without affecting my arthritis.,"['GENERAL', 'DESIGN_FEATURES', 'PORTABILITY']",positive
187,"Needless to say, not to happy with the product.",['GENERAL'],negative
188,This is a great machine!,['GENERAL'],positive
189,"The design is awesome, quality is unprecedented.","['DESIGN_FEATURES', 'QUALITY']",positive
190,"Apparently well-built and gorgeous to look at, the i5 MacBook Pro is a winning combination of price and performance.","['QUALITY', 'DESIGN_FEATURES', 'PRICE', 'OPERATION_PERFORMANCE']",positive
191,It is by far one of the greatest investments I have ever made.,['GENERAL'],positive
192,Consumer Report recommended Toshiba.,[],na
193,"Am very glad I bought it, great netbook, low price.","['GENERAL', 'PRICE']",positive
194,Very good quality and well made.,['QUALITY'],positive
195,Great pick for portability and affordability.,"['PORTABILITY', 'PRICE']",positive
196,The black model also has a very nice seamless appearance - one of the better looking notebooks I've seen.,['DESIGN_FEATURES'],positive
197,The only problem is a lack of screen resolutions!,['DISPLAY'],negative
198,"If you need an affordable, entry-level laptop, this will fit the bill.","['PRICE', 'MISCELLANEOUS']",positive
199,"I dislike the weight and size, cubersome.","['PORTABILITY', 'DESIGN_FEATURES']",negative
200,I dislike the quality and the placement of the speakers.,"['MULTIMEDIA_DEVICES', 'MULTIMEDIA_DEVICES']",negative
201,"Overall, it's ok.",['GENERAL'],neutral
202,"Laptop is advertised as a 15"" but the casing looks like that of a 17"".",['DESIGN_FEATURES'],negative
203,This laptop is very large and barely fits in any carrying cases.,"['DESIGN_FEATURES', 'PORTABILITY']",negative
204,Peformance is good for the price.,"['OPERATION_PERFORMANCE', 'PRICE']",mixed
205,"If you're not wanting to be mobile, this is a good laptop to sit on a desk.","['PORTABILITY', 'GENERAL']",mixed
206,Had to have this computer repaired twice in the first 5 months after purchasing it.,['QUALITY'],negative
207,Not good for a person who gets online daily.,['MISCELLANEOUS'],negative
208,May be better for the occasional web surfer.,['MISCELLANEOUS'],neutral
209,"I just got this laptop for college, and so far I am very happy with it.",['GENERAL'],positive
210,I really wanted a Mac over a pc because I used a Mac in high school.,[],na
211,It is so much easier to use,['USABILITY'],positive
212,"Good keyboard, long battery life, largest hard drive and windows 7.","['KEYBOARD', 'BATTERY', 'HARD_DISC', 'OS']",mixed
213,And Toshiba is a quality supplier.,['SUPPORT'],positive
214,I love this little one.,['GENERAL'],positive
215,The keyboard has a wonderful nature feel.,['KEYBOARD'],positive
216,I like it better than my big Dell Laptop.,[],na
217,Seriously considering a larger laptop to replace the Dell,[],na
218,great battery life.,['BATTERY'],positive
219,Keyboard is reasonable size.,['KEYBOARD'],positive
220,Small screen somewhat limiting but great for travel.,"['DISPLAY', 'PORTABILITY']",mixed
221,Charger seems large for this class of computer.,['POWER_SUPPLY'],negative
222,"Great Laptop for the price, works well with action pack games.","['GENERAL', 'PRICE', 'MISCELLANEOUS']",mixed
223,"The only thing that I have, is the key broad is a little dark to see the letters, would help if it was a little lighter then it is.","['KEYBOARD', 'KEYBOARD']",negative
224,but other then that I would give this product a 4 in hafe stars.,['GENERAL'],positive
225,Good for every day computing and web browsing.,['MISCELLANEOUS'],positive
226,A great computer for light home use and business use.,['MISCELLANEOUS'],positive
227,Might not make the avid gamer happy but I don't really think that is what this computer is designed for.,['MISCELLANEOUS'],neutral
228,"Crisp screen, great battery life, and plenty of storage.","['DISPLAY', 'BATTERY', 'HARD_DISC']",positive
229,Very happy.,['GENERAL'],positive
230,"My son and his family have a hard time financially because he is self-employed so the family had no computer of any kind, and kyle the oldest child is 12 and really need something to help him in school.",[],na
231,so we got a good deal on hsn for an ascer notebook and we bought it for him.,[],na
232,He loves it and it is easy to use and well the schools start teaching the kids early about computers so it was easy for him to get started.,"['GENERAL', 'USABILITY']",positive
233,now he mows yards so he can earn the money for the wireless internet.,[],na
234,I would recomend this acer to parents and grandparents it can really help them in school.,['MISCELLANEOUS'],positive
235,MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,['MISCELLANEOUS'],negative
236,"IT WANT TAKE IT, IT KEEP SAYING ERROR.",['MISCELLANEOUS'],negative
237,"HELP, HELP, OTHER THAN THAT GETS A GREAT LITTLE WONDER.",['GENERAL'],positive
238,It's fast and has excellent battery life.,"['OPERATION_PERFORMANCE', 'BATTERY']",positive
239,The screen shows great colors.,['DISPLAY'],positive
240,I was surprised with the performance and quality of this HP Laptop.,"['OPERATION_PERFORMANCE', 'QUALITY']",positive
241,the speed is fine.,['OPERATION_PERFORMANCE'],positive
242,Laptop is to be used like a Netbook.,[],na
243,"But with A WAY Bigger Screen, and IS able to connect to an HDMI.","['DISPLAY', 'CONNECTIVITY']",positive
244,Love it.,['GENERAL'],positive
245,"I would recommend this computer to anyone searching for the perfect laptop, and the battery life is amazing.","['GENERAL', 'BATTERY']",positive
246,I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,['BATTERY'],negative
247,This computer is the ideal college companion.,['MISCELLANEOUS'],positive
248,It's software and speed enable it to do amazing things.,"['OPERATION_PERFORMANCE', 'SOFTWARE']",positive
249,I am not happy at all with the product I purchased.,['GENERAL'],negative
250,"A cheaper price should not equal a ""cheap"" product.","['PRICE', 'QUALITY']",mixed
251,It was over rated!,['GENERAL'],negative
252,The Toshiba laptop was a great purchase.,['GENERAL'],positive
253,"The price was very good, and the product is top quality.","['PRICE', 'QUALITY']",positive
254,"The delivery was fast, and I would not hesitate to purchase this laptop again.","['SHIPPING', 'GENERAL']",positive
255,"This is my second laptop,and it is head and shoulders above my first.",[],na
256,It has easy to use features and all the speed and power I could ask for.,"['USABILITY', 'OPERATION_PERFORMANCE']",positive
257,True quality at a great price!,"['QUALITY', 'PRICE']",positive
258,I have used a computer at work but having your own personal laptop is AWSOME!,[],na
259,I am enjoying it and the quality it provides is great!,"['GENERAL', 'QUALITY']",positive
260,"Toshiba is a great brand, even though I haven't had it for a long time, I am very happy with it!","['COMPANY', 'GENERAL']",positive
261,"This is the first laptop I've owned, althougth I used several at my previous job.",[],na
262,"The screen graphics and clarity, and sharpness are great.",['DISPLAY'],positive
263,I've already recommended this laptop to a friend who eye'd the computer when I took it out of my bag.,['GENERAL'],positive
264,I like the laptop overall.,['GENERAL'],positive
265,The only thing i can say is that the touch pad doesnt work like it should all the time.,['MOUSE'],negative
266,Sometimes you really have to tap the pad to get it to work,"['MOUSE', 'MOUSE']",negative
267,This is a great little computer for the price.,"['GENERAL', 'PRICE']",mixed
268,"Simple to use, and great graphics.","['USABILITY', 'GRAPHICS']",positive
269,It has everything I would need for a home computer.,['MISCELLANEOUS'],positive
270,I'm very impressed.,['GENERAL'],positive
271,It was secure and easy to navigate.,"['QUALITY', 'USABILITY']",positive
272,It is everything that I would want in a computer.,['GENERAL'],positive
273,"Besides the great look, it is a great machine.","['DESIGN_FEATURES', 'GENERAL']",positive
274,I would definitely not go back to using a PC after using the mac.,[],na
275,Once again apple stands alone at the top of the charts.,['COMPANY'],positive
276,"I enjoy very much my new Toshiba, purchased specifially for attending online schooling.",['GENERAL'],positive
277,"I have found it very easy to use, very imformative, wonder alerts and tutorials making it very easy for someone like me who is not exactly technologically advanced to learn to use the various features and programs.",['USABILITY'],positive
278,"I have found also, it is very easy to be able to access wireless internet access; without having to have extra equipment and/or complicated routes to take to be able to do so.",['CONNECTIVITY'],positive
279,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.","['DESIGN_FEATURES', 'USABILITY', 'MISCELLANEOUS']",positive
280,I am very pleased with my purchase!,['GENERAL'],positive
281,This laptop serves all my needs.,['GENERAL'],positive
282,Screen size is perfect for portable use in any environment.,"['DISPLAY', 'PORTABILITY']",positive
283,Price and purpose is awesome!,"['PRICE', 'MISCELLANEOUS']",positive
284,I have been very pleased with the performance of this laptop.,['OPERATION_PERFORMANCE'],positive
285,"The battery life seems to be very good, and have had no issues with it.",['BATTERY'],positive
286,Great product.,['GENERAL'],positive
287,The laptop was very easy to set up.,['USABILITY'],positive
288,I did not have to call the support line at all.,[],na
289,Everything was so easy.,['USABILITY'],positive
290,I purchased two laptops (for my husband and 16 year old daughter).,[],na
291,"My husband uses it mostly for games, email and music.",[],na
292,"My daughter uses it for games, email, facebook, pictures and music.",[],na
293,They were able to set-up with labtops themselves within a few minutes.,['USABILITY'],positive
294,It works fine with our wireless and they've had not problems.,"['CONNECTIVITY', 'GENERAL']",positive
295,It's a great product for a great price!,"['GENERAL', 'PRICE']",positive
296,"Waited on getting this computer, but it has been a great change.",['GENERAL'],positive
297,Ease of use is just one of the benefits I love about my Mac.,['USABILITY'],positive
298,Purchased as a gift for a friend.,[],na
299,The service I received from Toshiba went above and beyond the call of duty.,['SUPPORT'],positive
300,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.","['OPERATION_PERFORMANCE', 'DISPLAY', 'USABILITY']",positive
301,It is extremely portable and easily connects to WIFI at the library and elsewhere.,"['PORTABILITY', 'CONNECTIVITY']",positive
302,Just what the doctor ordered.,['GENERAL'],positive
303,2nd Mac book I have purchased from MacConnection.,[],na
304,I cannot be happier with the service or product.,"['SUPPORT', 'GENERAL']",positive
305,power supply went bad after 2 weeks --,['POWER_SUPPLY'],negative
306,after much effort and 10 days ASUS replaced it,['SUPPORT'],negative
307,The WiFi is very weak.,['CONNECTIVITY'],negative
308,"I have other computers that get strong signals that don't drop in places that this ""net""book loses its signal.",[],na
309,Summary: Spend your money elsewhere,['GENERAL'],negative
310,This is a nicely sized laptop with lots of processing power and long battery life.,"['DESIGN_FEATURES', 'CPU', 'BATTERY']",positive
311,Love it so far.,['GENERAL'],positive
312,The Toshiba Net book operates very well.,['OPERATION_PERFORMANCE'],positive
313,The only objection I have is that after you buy it the windows 7 system is a starter and charges for the upgrade.,['OS'],negative
314,"I bought this netbook for traveling, and it's great - light, functional, and meets my needs.","['GENERAL', 'DESIGN_FEATURES', 'PORTABILITY', 'OPERATION_PERFORMANCE']",positive
315,"The touchpad is extremely sensitive, which is the only drawback.","['MOUSE', 'GENERAL']",mixed
316,"Otherwise, I love it!",['GENERAL'],positive
317,I shopped around before buying.,[],na
318,I wasn't really sure I wanted to spend that kind of money!,['PRICE'],negative
319,It Was a great deal after all.,"['GENERAL', 'PRICE']",positive
320,I LOVE it!,['GENERAL'],positive
321,I should have bought one a long time ago.,['GENERAL'],positive
322,Not enough time for me to give it 5 stars!,['GENERAL'],neutral
323,"I've had the MacBook Pro 15 for about three weeks, and it really is a great computer.",['GENERAL'],positive
324,I have only had PCs with Windows before so this takes a little getting use to.,['OS'],neutral
325,The real stand out on this computer is the feel of the keyboard and it's speed.,"['KEYBOARD', 'OPERATION_PERFORMANCE']",positive
326,"It is fast booting up , shutting down, and connection with the internet.","['OPERATION_PERFORMANCE', 'CONNECTIVITY']",positive
327,The one thing I wish it had was a detailed hardcopy manuel.,['MISCELLANEOUS'],negative
328,"I think the manual is somewhere on the hard drive, but I rather have a hard copy.",['MISCELLANEOUS'],neutral
329,"If what you need is a machine to do some surfing, email checking, word processing, and watching a movie or two, this is the machine you want.",['MISCELLANEOUS'],positive
330,It's priced very reasonable and works very well right out of the box.,"['PRICE', 'OPERATION_PERFORMANCE']",positive
331,"If you want a little more custom ability, drop a few bucks and upgrade to one of the more robust versions of Win 7 and grab a 2GB stick of memory to spice it all up a bit more.",[],na
332,(I found a 2GB stick for a bit under $50),[],na
333,"Nice and portable and definitely a decent enough system to keep you entertained while sitting in the airplane for a couple of hours, or at the hotel taking care of some last minute details and documents.","['GENERAL', 'PORTABILITY', 'MISCELLANEOUS']",positive
334,My ONLY issues are:,[],na
335,the screen/video resolution won't increase to a higher resolution then 1024 x 60,['DISPLAY'],negative
336,"That being said, it still runs video in full screen decently.",['DISPLAY'],neutral
337,"The sound is a bit quiet if you're on a plane, this can easily be overcome with a decent pair of head phones.",['MULTIMEDIA_DEVICES'],neutral
338,"Bottom line, I doubt you'd be overly disappointed if you invest in this machine.",['GENERAL'],positive
339,"Okay, let's just start out by saying I am in no way a computer techy.",[],na
340,"I am a wife, mom and a school teacher and a college student.",[],na
341,"Trying to balance all of my roles leaves very little time for me to do anything, so I want to manage my time I do have to be the most efficient.",[],na
342,I work on a PC at home and have used Pc all through college.,[],na
343,"I use the computer to basically check emails, surf the web, print coupons and for my college papers.",[],na
344,I was getting extrememly frustrated when I would want to do these simple taks that I would have to wait and wait and wait for things to download or virus that would clog up my PC.,[],na
345,It would take up too much time to do reaearch for my papers and I would be up hours-just because the computer was too slow.,[],na
346,My brother is a computer wiz and would laugh at me because he used an Apple.,[],na
347,"Finally, I couldn't take it anymore and ordered my Apple.",[],na
348,"Yes, I thought the expese was a little much, but I now realize you get what you pay for.","['PRICE', 'GENERAL']",mixed
349,"I love my Apple, it is quick and easy to use.","['GENERAL', 'OPERATION_PERFORMANCE', 'USABILITY']",positive
350,"I've had to call Apple support to set up my new printer and have had wonderful experiences with helpful, english speaking (from Vancouver) techs that walked me through the processes to help me.",['SUPPORT'],positive
351,I can't say enough of how satisfied I am with their product and help aftermarket.,"['GENERAL', 'SUPPORT']",positive
352,Money and time well spent!,"['GENERAL', 'PRICE']",positive
